Name,Position,Goals,Assists,Shots,Shots on target,Shooting accuracy %,Big chances created,Big chances missed,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored
Tammy Abraham ,Forward,0,0,2.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emmanuel Adebayor ,Forward,1,1,12.0,4.0,33%,0.0,2.0,1.0,0.0,0.0,0.0,0.0
Benik Afobe ,Forward,4,0,14.0,5.0,36%,0.0,4.0,3.0,1.0,0.0,0.0,0.0
Gabriel Agbonlahor ,Forward,1,2,10.0,6.0,60%,2.0,1.0,0.0,0.0,1.0,0.0,0.0
Sergio Agüero ,Forward,24,2,119.0,52.0,44%,5.0,16.0,5.0,16.0,3.0,4.0,0.0
Chuba Akpom ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexandre Pato ,Forward,1,0,4.0,2.0,50%,0.0,2.0,0.0,1.0,0.0,1.0,0.0
Victor Anichebe ,Forward,0,0,13.0,4.0,31%,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Michail Antonio ,Forward,8,3,54.0,20.0,37%,4.0,6.0,6.0,1.0,1.0,0.0,0.0
Adam Armstrong ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marko Arnautovic ,Forward,11,6,70.0,22.0,31%,11.0,10.0,0.0,9.0,1.0,3.0,0.0
Charlie Austin ,Forward,1,0,8.0,2.0,25%,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Jordan Ayew ,Forward,7,0,59.0,21.0,36%,4.0,1.0,1.0,6.0,0.0,1.0,0.0
Mario Balotelli ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Bamford ,Forward,0,0,10.0,4.0,40%,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Brandon Barker ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Modou Barrow ,Forward,1,2,11.0,4.0,36%,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Christian Benteke ,Forward,9,3,61.0,20.0,33%,3.0,9.0,3.0,6.0,0.0,1.0,0.0
Saido Berahino ,Forward,4,0,35.0,11.0,31%,1.0,7.0,0.0,3.0,1.0,0.0,0.0
Steven Berghuis ,Forward,0,2,8.0,4.0,50%,1.0,1.0,0.0,0.0,0.0,0.0,0.0
