Name,Position,Clean sheets,Goals conceded,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
Adrián ,Goalkeeper,9.0,39.0,99.0,2.0,19.0,40.0,11.0,31.0,155.0,288.0
Ryan Allsop ,Goalkeeper,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0
Marco Amelia ,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giedrius Arlauskis ,Goalkeeper,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Daniel Bachmann ,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asmir Begovic ,Goalkeeper,4.0,24.0,55.0,0.0,8.0,17.0,12.0,6.0,69.0,106.0
Jamal Blackman ,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Bogdan ,Goalkeeper,0.0,4.0,2.0,0.0,1.0,2.0,0.0,1.0,9.0,17.0
Artur Boruc ,Goalkeeper,7.0,51.0,77.0,2.0,8.0,47.0,8.0,24.0,168.0,268.0
Mark Bunn ,Goalkeeper,4.0,18.0,27.0,1.0,9.0,9.0,7.0,4.0,25.0,98.0
Jack Butland ,Goalkeeper,10.0,37.0,103.0,0.0,12.0,43.0,11.0,36.0,120.0,287.0
Willy Caballero ,Goalkeeper,1.0,5.0,15.0,0.0,2.0,2.0,0.0,0.0,5.0,21.0
Petr Cech ,Goalkeeper,16.0,31.0,101.0,0.0,19.0,39.0,10.0,33.0,175.0,248.0
Thibaut Courtois ,Goalkeeper,5.0,29.0,67.0,1.0,19.0,32.0,13.0,14.0,118.0,168.0
Karl Darlow ,Goalkeeper,3.0,11.0,23.0,1.0,9.0,20.0,2.0,8.0,29.0,76.0
David de Gea ,Goalkeeper,15.0,33.0,83.0,0.0,13.0,20.0,6.0,18.0,106.0,287.0
Matej Delac ,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Elliot ,Goalkeeper,4.0,37.0,59.0,0.0,18.0,38.0,5.0,10.0,81.0,200.0
Lukasz Fabianski ,Goalkeeper,9.0,51.0,115.0,0.0,34.0,81.0,15.0,20.0,204.0,300.0
Adam Federici ,Goalkeeper,0.0,15.0,13.0,0.0,4.0,3.0,2.0,2.0,22.0,31.0
Fraser Forster ,Goalkeeper,6.0,17.0,51.0,0.0,5.0,16.0,4.0,3.0,25.0,144.0
Ben Foster ,Goalkeeper,4.0,17.0,44.0,0.0,2.0,21.0,12.0,9.0,40.0,141.0
Ryan Fulton ,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paulo Gazzaniga ,Goalkeeper,0.0,3.0,7.0,0.0,0.0,1.0,0.0,2.0,9.0,18.0
Rene Gilmartin ,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
