Name,Position,Goals,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Tackles,Interceptions,Recoveries,Duels won,Duels lost
Rolando Aarons ,Midfielder,1,1,119,11.9,1.0,12.0,25%,0.0,7.0,13.0,6.0,23.0,29.0,34.0
Almen Abdi ,Midfielder,2,0,938,29.31,4.0,55.0,31%,2.0,36.0,83.0,32.0,137.0,140.0,153.0
Mehdi Abeid ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Adam ,Midfielder,1,1,546,24.82,1.0,40.0,30%,1.0,68.0,18.0,12.0,73.0,68.0,76.0
Ibrahim Afellay ,Midfielder,2,2,"1,274",41.1,3.0,68.0,16%,3.0,68.0,27.0,11.0,162.0,117.0,110.0
Marc Albrighton ,Midfielder,2,6,912,24.0,11.0,272.0,19%,4.0,57.0,65.0,49.0,214.0,154.0,172.0
Aleix García ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allan ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Allen ,Midfielder,2,1,410,21.58,1.0,5.0,40%,2.0,19.0,28.0,14.0,73.0,59.0,56.0
Dele Alli ,Midfielder,10,9,"1,083",32.82,11.0,19.0,21%,18.0,26.0,71.0,61.0,175.0,203.0,272.0
Morgan Amalfitano ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sammy Ameobi ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andreas Pereira ,Midfielder,0,0,49,12.25,0.0,11.0,36%,0.0,0.0,1.0,1.0,7.0,6.0,12.0
Tony Andreu ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vurnon Anita ,Midfielder,1,3,990,35.36,0.0,28.0,18%,2.0,53.0,74.0,56.0,160.0,110.0,102.0
Ikechi Anya ,Midfielder,0,1,660,23.57,2.0,71.0,10%,0.0,28.0,16.0,45.0,102.0,61.0,52.0
